Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf
Kanakia Park,"Rs.7,310 - 8,160/sq. ft.","7,310 - 8,160",7310,8160,7735,3.41%,"Rs.8,925 - 10,710","8,925 - 10,710",8925,10710,9817.5,127%,"Rs.13,296 - 16,989","13,296 - 16,989",13296,16989,15142.5,196%,,,,,,
Kanchpada,"Rs.17,892 - 19,720/sq. ft.","17,892 - 19,720",17892,19720,18806,,"Rs.21,802 - 27,616","21,802 - 27,616",21802,27616,24709,131%,,,,,,,,,,,,
Kandarpada,"Rs.12,665 - 14,918/sq. ft.","12,665 - 14,918",12665,14918,13791.5,-6.29%,"Rs.13,954 - 14,826","13,954 - 14,826",13954,14826,14390,104%,"Rs.20,018 - 22,686","20,018 - 22,686",20018,22686,21352,155%,,,,,,
Kandivali (East),"Rs.13,982 - 16,405/sq. ft.","13,982 - 16,405",13982,16405,15193.5,13.02%,"Rs.16,376 - 18,962","16,376 - 18,962",16376,18962,17669,116%,,,,,,,,,,,,
Kandivali (West),"Rs.13,090 - 16,575/sq. ft.","13,090 - 16,575",13090,16575,14832.5,0.29%,"Rs.15,976 - 18,714","15,976 - 18,714",15976,18714,17345,117%,"Rs.21,981 - 25,644","21,981 - 25,644",21981,25644,23812.5,161%,"Rs.38,097 - 42,330","38,097 - 42,330",38097,42330,40213.5,271%
Kanjur Marg (East),"Rs.12,070 - 14,535/sq. ft.","12,070 - 14,535",12070,14535,13302.5,1.3%,"Rs.19,635 - 22,440","19,635 - 22,440",19635,22440,21037.5,158%,"Rs.35,734 - 39,307","35,734 - 39,307",35734,39307,37520.5,282%,"Rs.54,300 - 58,477","54,300 - 58,477",54300,58477,56388.5,424%
Kanjur Marg (west),"Rs.12,580 - 14,748/sq. ft.","12,580 - 14,748",12580,14748,13664,-5.34%,"Rs.23,371 - 26,354","23,371 - 26,354",23371,26354,24862.5,182%,"Rs.36,550 - 40,800","36,550 - 40,800",36550,40800,38675,283%,"Rs.52,190 - 60,018","52,190 - 60,018",52190,60018,56104,411%
Kannamwar Nagar I,"Rs.10,795 - 13,302/sq. ft.","10,795 - 13,302",10795,13302,12048.5,,,,,,,,,,,,,,,,,,,
Kannamwar Nagar II,"Rs.11,645 - 15,598/sq. ft.","11,645 - 15,598",11645,15598,13621.5,,"Rs.12,928 - 14,918","12,928 - 14,918",12928,14918,13923,102%,,,,,,,,,,,,
Kapurbawadi,"Rs.9,945 - 11,815/sq. ft.","9,945 - 11,815",9945,11815,10880,8.26%,"Rs.13,685 - 15,327","13,685 - 15,327",13685,15327,14506,133%,"Rs.19,380 - 21,802","19,380 - 21,802",19380,21802,20591,189%,"Rs.25,112 - 31,390","25,112 - 31,390",25112,31390,28251,260%
Karanjade,"Rs.4,972 - 5,610/sq. ft.","4,972 - 5,610",4972,5610,5291,-2.38%,"Rs.4,406 - 5,386","4,406 - 5,386",4406,5386,4896,93%,,,,,,,,,,,,
Karave Nagar,"Rs.11,985 - 14,492/sq. ft.","11,985 - 14,492",11985,14492,13238.5,-10.95%,,,,,,,"Rs.30,855 - 38,335","30,855 - 38,335",30855,38335,34595,261%,"Rs.38,786 - 47,404","38,786 - 47,404",38786,47404,43095,326%
Karjat,"Rs.2,975 - 3,485/sq. ft.","2,975 - 3,485",2975,3485,3230,-5%,,,,,,,,,,,,,,,,,,
Kasar Vadavali,"Rs.7,692 - 8,458/sq. ft.","7,692 - 8,458",7692,8458,8075,-0.52%,"Rs.9,775 - 11,241","9,775 - 11,241",9775,11241,10508,130%,"Rs.13,421 - 15,540","13,421 - 15,540",13421,15540,14480.5,179%,"Rs.18,727 - 21,848","18,727 - 21,848",18727,21848,20287.5,251%
Kasheli,"Rs.3,272 - 4,378/sq. ft.","3,272 - 4,378",3272,4378,3825,-9%,,,,,,,,,,,,,,,,,,
Kashimira,"Rs.6,418 - 7,480/sq. ft.","6,418 - 7,480",6418,7480,6949,-1.23%,,,,,,,"Rs.11,465 - 13,614","11,465 - 13,614",11465,13614,12539.5,180%,,,,,,
Katemanivali,"Rs.4,250 - 5,015/sq. ft.","4,250 - 5,015",4250,5015,4632.5,0.93%,,,,,,,,,,,,,,,,,,
Katrap,"Rs.3,272 - 3,825/sq. ft.","3,272 - 3,825",3272,3825,3548.5,0%,"Rs.3,213 - 4,284","3,213 - 4,284",3213,4284,3748.5,106%,"Rs.5,319 - 6,079","5,319 - 6,079",5319,6079,5699,161%,,,,,,
Kavesar,"Rs.8,712 - 9,605/sq. ft.","8,712 - 9,605",8712,9605,9158.5,1.9%,"Rs.11,832 - 12,818","11,832 - 12,818",11832,12818,12325,135%,"Rs.18,289 - 19,951","18,289 - 19,951",18289,19951,19120,209%,"Rs.22,950 - 26,392","22,950 - 26,392",22950,26392,24671,269%
Ketkipada,"Rs.8,288 - 10,412/sq. ft.","8,288 - 10,412",8288,10412,9350,0.45%,,,,,,,,,,,,,,,,,,
Khadakpada,"Rs.5,482 - 6,290/sq. ft.","5,482 - 6,290",5482,6290,5886,0%,"Rs.6,630 - 7,650","6,630 - 7,650",6630,7650,7140,121%,"Rs.10,575 - 12,202","10,575 - 12,202",10575,12202,11388.5,193%,,,,,,
Khalapur,"Rs.6,758 - 8,075/sq. ft.","6,758 - 8,075",6758,8075,7416.5,-1.18%,"Rs.8,160 - 10,200","8,160 - 10,200",8160,10200,9180,124%,"Rs.15,123 - 17,959","15,123 - 17,959",15123,17959,16541,223%,"Rs.20,536 - 24,386","20,536 - 24,386",20536,24386,22461,303%
Khanda Colony,"Rs.6,375 - 7,522/sq. ft.","6,375 - 7,522",6375,7522,6948.5,-0.61%,,,,,,,"Rs.11,475 - 13,005","11,475 - 13,005",11475,13005,12240,176%,,,,,,
Khandeshwar,"Rs.7,522 - 8,032/sq. ft.","7,522 - 8,032",7522,8032,7777,-1.08%,"Rs.9,256 - 9,771","9,256 - 9,771",9256,9771,9513.5,122%,"Rs.12,431 - 13,260","12,431 - 13,260",12431,13260,12845.5,165%,,,,,,
Khar,"Rs.33,235 - 38,250/sq. ft.","33,235 - 38,250",33235,38250,35742.5,-0.82%,"Rs.38,802 - 46,750","38,802 - 46,750",38802,46750,42776,120%,"Rs.69,700 - 85,000","69,700 - 85,000",69700,85000,77350,216%,"Rs.1,03,144 - 1,29,241","1,03,144 - 1,29,241",103144,129241,116192.5,325%
Khar West,"Rs.33,362 - 38,420/sq. ft.","33,362 - 38,420",33362,38420,35891,-0.82%,"Rs.38,802 - 46,750","38,802 - 46,750",38802,46750,42776,119%,"Rs.69,630 - 84,915","69,630 - 84,915",69630,84915,77272.5,215%,"Rs.1,03,426 - 1,29,594","1,03,426 - 1,29,594",103426,129594,116510,325%
Kharegaon,"Rs.6,035 - 7,990/sq. ft.","6,035 - 7,990",6035,7990,7012.5,3.13%,"Rs.9,775 - 10,752","9,775 - 10,752",9775,10752,10263.5,146%,,,,,,,,,,,,
Kharghar,"Rs.7,565 - 8,840/sq. ft.","7,565 - 8,840",7565,8840,8202.5,0%,"Rs.7,929 - 10,407","7,929 - 10,407",7929,10407,9168,112%,"Rs.15,943 - 18,600","15,943 - 18,600",15943,18600,17271.5,211%,"Rs.20,952 - 25,882","20,952 - 25,882",20952,25882,23417,285%
Kharvai,"Rs.3,102 - 3,740/sq. ft.","3,102 - 3,740",3102,3740,3421,9.59%,"Rs.2,805 - 3,272","2,805 - 3,272",2805,3272,3038.5,89%,,,,,,,,,,,,
Khatiwali,"Rs.2,805 - 3,315/sq. ft.","2,805 - 3,315",2805,3315,3060,,,,,,,,,,,,,,,,,,,
Khoni,"Rs.5,568 - 6,842/sq. ft.","5,568 - 6,842",5568,6842,6205,,,,,,,,,,,,,,,,,,,
Khopat,"Rs.10,880 - 12,580/sq. ft.","10,880 - 12,580",10880,12580,11730,8.66%,"Rs.14,864 - 16,402","14,864 - 16,402",14864,16402,15633,133%,"Rs.20,196 - 23,188","20,196 - 23,188",20196,23188,21692,185%,,,,,,
Khopoli,"Rs.3,230 - 3,528/sq. ft.","3,230 - 3,528",3230,3528,3379,3.9%,"Rs.4,437 - 5,423","4,437 - 5,423",4437,5423,4930,146%,,,,,,,,,,,,
Kolshet Industrial Area,"Rs.8,458 - 9,860/sq. ft.","8,458 - 9,860",8458,9860,9159,0%,,,,,,,,,,,,,"Rs.18,360 - 22,440","18,360 - 22,440",18360,22440,20400,223%
Kolshet Road,"Rs.9,138 - 10,115/sq. ft.","9,138 - 10,115",9138,10115,9626.5,1.35%,"Rs.13,294 - 14,450","13,294 - 14,450",13294,14450,13872,144%,"Rs.16,779 - 17,578","16,779 - 17,578",16779,17578,17178.5,178%,"Rs.21,250 - 25,500","21,250 - 25,500",21250,25500,23375,243%
Kopara,"Rs.6,970 - 7,990/sq. ft.","6,970 - 7,990",6970,7990,7480,3.55%,,,,,,,"Rs.15,606 - 17,442","15,606 - 17,442",15606,17442,16524,221%,,,,,,
Kopargaon,"Rs.5,822 - 7,268/sq. ft.","5,822 - 7,268",5822,7268,6545,,,,,,,,,,,,,,,,,,,
Koperkhairane,"Rs.9,350 - 11,348/sq. ft.","9,350 - 11,348",9350,11348,10349,5.65%,"Rs.12,622 - 14,960","12,622 - 14,960",12622,14960,13791,133%,"Rs.20,188 - 24,225","20,188 - 24,225",20188,24225,22206.5,215%,,,,,,
Kopri,"Rs.10,072 - 11,560/sq. ft.","10,072 - 11,560",10072,11560,10816,1.21%,,,,,,,"Rs.22,610 - 24,225","22,610 - 24,225",22610,24225,23417.5,217%,,,,,,
Kulgaon,"Rs.2,805 - 3,612/sq. ft.","2,805 - 3,612",2805,3612,3208.5,,"Rs.3,570 - 4,080","3,570 - 4,080",3570,4080,3825,119%,,,,,,,,,,,,
Kurla (East),"Rs.11,942 - 14,068/sq. ft.","11,942 - 14,068",11942,14068,13005,1.62%,"Rs.19,516 - 21,896","19,516 - 21,896",19516,21896,20706,159%,"Rs.27,802 - 31,559","27,802 - 31,559",27802,31559,29680.5,228%,,,,,,
Kurla (west),"Rs.13,090 - 15,852/sq. ft.","13,090 - 15,852",13090,15852,14471,-1.42%,"Rs.20,318 - 23,786","20,318 - 23,786",20318,23786,22052,152%,"Rs.37,952 - 45,220","37,952 - 45,220",37952,45220,41586,287%,"Rs.54,770 - 61,476","54,770 - 61,476",54770,61476,58123,402%
Kutak Bandhan,"Rs.7,012 - 7,905/sq. ft.","7,012 - 7,905",7012,7905,7458.5,2.31%,,,,,,,,,,,,,,,,,,
Lakshmiben Chedda Nagar,"Rs.4,462 - 5,015/sq. ft.","4,462 - 5,015",4462,5015,4738.5,-1.79%,,,,,,,,,,,,,,,,,,
Lalbaug,"Rs.24,395 - 32,470/sq. ft.","24,395 - 32,470",24395,32470,28432.5,,,,,,,,"Rs.63,580 - 67,320","63,580 - 67,320",63580,67320,65450,230%,"Rs.1,07,273 - 1,11,452","1,07,273 - 1,11,452",107273,111452,109362.5,385%
Laxmi Nagar,"Rs.12,240 - 12,920/sq. ft.","12,240 - 12,920",12240,12920,12580,-0.67%,,,,,,,,,,,,,,,,,,
LBS Marg,"Rs.14,068 - 16,150/sq. ft.","14,068 - 16,150",14068,16150,15109,1.09%,"Rs.21,930 - 23,970","21,930 - 23,970",21930,23970,22950,152%,"Rs.29,038 - 31,330","29,038 - 31,330",29038,31330,30184,200%,,,,,,
Liberty Garden,"Rs.14,152 - 17,085/sq. ft.","14,152 - 17,085",14152,17085,15618.5,,"Rs.16,150 - 18,700","16,150 - 18,700",16150,18700,17425,112%,,,,,,,,,,,,
Linking Road,"Rs.34,850 - 42,798/sq. ft.","34,850 - 42,798",34850,42798,38824,,,,,,,,,,,,,,,,,,,
Lokhandwala Kandivali East,"Rs.13,005 - 14,280/sq. ft.","13,005 - 14,280",13005,14280,13642.5,7.69%,"Rs.15,159 - 17,207","15,159 - 17,207",15159,17207,16183,119%,"Rs.24,216 - 26,559","24,216 - 26,559",24216,26559,25387.5,186%,"Rs.27,514 - 29,631","27,514 - 29,631",27514,29631,28572.5,209%
Louis Wadi,"Rs.11,942 - 13,600/sq. ft.","11,942 - 13,600",11942,13600,12771,1.74%,"Rs.13,570 - 17,510","13,570 - 17,510",13570,17510,15540,122%,,,,,,,,,,,,
Lower Parel,"Rs.26,392 - 31,918/sq. ft.","26,392 - 31,918",26392,31918,29155,-0.29%,"Rs.29,325 - 34,425","29,325 - 34,425",29325,34425,31875,109%,"Rs.71,536 - 89,420","71,536 - 89,420",71536,89420,80478,276%,"Rs.1,89,090 - 2,32,559","1,89,090 - 2,32,559",189090,232559,210824.5,723%
Lower Parel East,"Rs.21,845 - 22,950/sq. ft.","21,845 - 22,950",21845,22950,22397.5,,,,,,,,"Rs.63,240 - 77,520","63,240 - 77,520",63240,77520,70380,314%,,,,,,
Lower Parel West,"Rs.25,288 - 30,642/sq. ft.","25,288 - 30,642",25288,30642,27965,1.11%,"Rs.21,258 - 26,486","21,258 - 26,486",21258,26486,23872,85%,"Rs.71,400 - 79,900","71,400 - 79,900",71400,79900,75650,271%,"Rs.1,55,252 - 1,72,663","1,55,252 - 1,72,663",155252,172663,163957.5,586%
Madh,"Rs.14,748 - 17,298/sq. ft.","14,748 - 17,298",14748,17298,16023,,,,,,,,,,,,,,,,,,,
Mahakali Caves,"Rs.15,980 - 18,572/sq. ft.","15,980 - 18,572",15980,18572,17276,-9.09%,"Rs.25,727 - 27,984","25,727 - 27,984",25727,27984,26855.5,155%,"Rs.32,360 - 36,674","32,360 - 36,674",32360,36674,34517,200%,,,,,,
Mahalaxmi,"Rs.28,602 - 32,300/sq. ft.","28,602 - 32,300",28602,32300,30451,-1.67%,"Rs.35,764 - 42,916","35,764 - 42,916",35764,42916,39340,129%,"Rs.1,17,443 - 1,28,775","1,17,443 - 1,28,775",117443,128775,123109,404%,"Rs.1,72,380 - 1,95,585","1,72,380 - 1,95,585",172380,195585,183982.5,604%
Mahavir Nagar,"Rs.17,212 - 19,295/sq. ft.","17,212 - 19,295",17212,19295,18253.5,1.17%,"Rs.19,168 - 21,038","19,168 - 21,038",19168,21038,20103,110%,"Rs.28,530 - 31,791","28,530 - 31,791",28530,31791,30160.5,165%,,,,,,
Mahim (West),"Rs.27,242 - 32,130/sq. ft.","27,242 - 32,130",27242,32130,29686,3.08%,"Rs.32,725 - 35,700","32,725 - 35,700",32725,35700,34212.5,115%,"Rs.52,764 - 65,752","52,764 - 65,752",52764,65752,59258,200%,,,,,,
Majiwada,"Rs.9,052 - 10,540/sq. ft.","9,052 - 10,540",9052,10540,9796,1.34%,"Rs.13,426 - 16,906","13,426 - 16,906",13426,16906,15166,155%,"Rs.19,859 - 22,568","19,859 - 22,568",19859,22568,21213.5,217%,"Rs.25,585 - 29,423","25,585 - 29,423",25585,29423,27504,281%
Malabar Hill,"Rs.52,105 - 64,048/sq. ft.","52,105 - 64,048",52105,64048,58076.5,7.88%,"Rs.62,730 - 69,870","62,730 - 69,870",62730,69870,66300,114%,"Rs.1,22,400 - 1,53,000","1,22,400 - 1,53,000",122400,153000,137700,237%,"Rs.2,02,130 - 2,50,920","2,02,130 - 2,50,920",202130,250920,226525,390%
Malad (East),"Rs.13,430 - 15,852/sq. ft.","13,430 - 15,852",13430,15852,14641,-2.79%,"Rs.18,742 - 22,312","18,742 - 22,312",18742,22312,20527,140%,"Rs.32,776 - 36,873","32,776 - 36,873",32776,36873,34824.5,238%,"Rs.46,294 - 51,299","46,294 - 51,299",46294,51299,48796.5,333%
Malad (West),"Rs.13,472 - 16,618/sq. ft.","13,472 - 16,618",13472,16618,15045,1.45%,"Rs.17,404 - 21,420","17,404 - 21,420",17404,21420,19412,129%,"Rs.28,305 - 33,660","28,305 - 33,660",28305,33660,30982.5,206%,"Rs.41,703 - 49,188","41,703 - 49,188",41703,49188,45445.5,302%
Malvani,"Rs.7,905 - 10,200/sq. ft.","7,905 - 10,200",7905,10200,9052.5,11.28%,"Rs.13,780 - 17,225","13,780 - 17,225",13780,17225,15502.5,171%,"Rs.19,508 - 24,565","19,508 - 24,565",19508,24565,22036.5,243%,,,,,,
Manda,"Rs.3,910 - 4,250/sq. ft.","3,910 - 4,250",3910,4250,4080,3.23%,"Rs.3,835 - 4,794","3,835 - 4,794",3835,4794,4314.5,106%,,,,,,,,,,,,
Manisha Nagar,"Rs.6,758 - 8,500/sq. ft.","6,758 - 8,500",6758,8500,7629,-9.5%,"Rs.8,693 - 11,177","8,693 - 11,177",8693,11177,9935,130%,,,,,,,,,,,,
Manjarli,"Rs.3,315 - 3,910/sq. ft.","3,315 - 3,910",3315,3910,3612.5,-2.3%,"Rs.3,213 - 4,284","3,213 - 4,284",3213,4284,3748.5,104%,,,,,,,,,,,,
Mankhurd,"Rs.7,395 - 9,818/sq. ft.","7,395 - 9,818",7395,9818,8606.5,,,,,,,,,,,,,,,,,,,
Manpada,"Rs.9,818 - 10,965/sq. ft.","9,818 - 10,965",9818,10965,10391.5,0.41%,"Rs.14,174 - 15,151","14,174 - 15,151",14174,15151,14662.5,141%,"Rs.21,229 - 23,776","21,229 - 23,776",21229,23776,22502.5,217%,"Rs.25,245 - 29,835","25,245 - 29,835",25245,29835,27540,265%
Marine Drive,"Rs.42,160 - 49,470/sq. ft.","42,160 - 49,470",42160,49470,45815,,,,,,,,,,,,,,,,,,,
Marol,"Rs.14,450 - 16,490/sq. ft.","14,450 - 16,490",14450,16490,15470,4.05%,"Rs.24,098 - 27,471","24,098 - 27,471",24098,27471,25784.5,167%,"Rs.35,904 - 41,616","35,904 - 41,616",35904,41616,38760,251%,"Rs.44,200 - 53,040","44,200 - 53,040",44200,53040,48620,314%
Matunga,"Rs.29,368 - 32,598/sq. ft.","29,368 - 32,598",29368,32598,30983,4.2%,"Rs.34,884 - 39,015","34,884 - 39,015",34884,39015,36949.5,119%,"Rs.49,946 - 63,777","49,946 - 63,777",49946,63777,56861.5,184%,,,,,,
Matunga East,"Rs.28,135 - 30,600/sq. ft.","28,135 - 30,600",28135,30600,29367.5,9.38%,"Rs.36,465 - 41,140","36,465 - 41,140",36465,41140,38802.5,132%,"Rs.68,000 - 82,450","68,000 - 82,450",68000,82450,75225,256%,,,,,,
Matunga West,"Rs.29,368 - 33,320/sq. ft.","29,368 - 33,320",29368,33320,31344,1.27%,"Rs.34,425 - 39,015","34,425 - 39,015",34425,39015,36720,117%,"Rs.48,344 - 58,756","48,344 - 58,756",48344,58756,53550,171%,,,,,,
Mazgaon,"Rs.21,292 - 26,562/sq. ft.","21,292 - 26,562",21292,26562,23927,-2.43%,"Rs.31,714 - 36,244","31,714 - 36,244",31714,36244,33979,142%,"Rs.52,360 - 61,710","52,360 - 61,710",52360,61710,57035,238%,,,,,,
Medetiya Nagar,"Rs.7,098 - 8,585/sq. ft.","7,098 - 8,585",7098,8585,7841.5,-3.68%,,,,,,,,,,,,,,,,,,
Mhatre Wadi,"Rs.13,685 - 14,960/sq. ft.","13,685 - 14,960",13685,14960,14322.5,0.88%,,,,,,,,,,,,,,,,,,
Mindspace,"Rs.18,318 - 20,952/sq. ft.","18,318 - 20,952",18318,20952,19635,5.8%,"Rs.21,588 - 24,128","21,588 - 24,128",21588,24128,22858,116%,"Rs.34,745 - 41,851","34,745 - 41,851",34745,41851,38298,195%,"Rs.48,875 - 52,062","48,875 - 52,062",48875,52062,50468.5,257%
Mira Bhayandar,"Rs.7,438 - 8,372/sq. ft.","7,438 - 8,372",7438,8372,7905,0.54%,"Rs.10,192 - 11,581","10,192 - 11,581",10192,11581,10886.5,138%,"Rs.14,110 - 16,226","14,110 - 16,226",14110,16226,15168,192%,"Rs.18,700 - 21,505","18,700 - 21,505",18700,21505,20102.5,254%
Mira Road,"Rs.7,480 - 8,500/sq. ft.","7,480 - 8,500",7480,8500,7990,0.53%,"Rs.9,818 - 11,220","9,818 - 11,220",9818,11220,10519,132%,"Rs.13,906 - 15,992","13,906 - 15,992",13906,15992,14949,187%,"Rs.17,813 - 20,626","17,813 - 20,626",17813,20626,19219.5,241%
Mira Road East,"Rs.7,480 - 8,372/sq. ft.","7,480 - 8,372",7480,8372,7926,0%,"Rs.9,782 - 11,645","9,782 - 11,645",9782,11645,10713.5,135%,"Rs.13,485 - 16,324","13,485 - 16,324",13485,16324,14904.5,188%,"Rs.19,125 - 21,994","19,125 - 21,994",19125,21994,20559.5,259%
Morivali,"Rs.3,655 - 4,335/sq. ft.","3,655 - 4,335",3655,4335,3995,,,,,,,,,,,,,,,,,,,
Morya Nagar,"Rs.3,910 - 4,420/sq. ft.","3,910 - 4,420",3910,4420,4165,-3.96%,"Rs.4,122 - 4,947","4,122 - 4,947",4122,4947,4534.5,109%,"Rs.5,432 - 6,035","5,432 - 6,035",5432,6035,5733.5,138%,,,,,,
Moti Nagar,"Rs.16,915 - 17,468/sq. ft.","16,915 - 17,468",16915,17468,17191.5,,,,,,,,,,,,,,,,,,,
Motilal Nagar II,"Rs.14,832 - 16,320/sq. ft.","14,832 - 16,320",14832,16320,15576,3.14%,"Rs.23,491 - 24,929","23,491 - 24,929",23491,24929,24210,155%,"Rs.29,223 - 35,717","29,223 - 35,717",29223,35717,32470,208%,,,,,,
Mulund,"Rs.14,110 - 16,320/sq. ft.","14,110 - 16,320",14110,16320,15215,3.46%,"Rs.17,298 - 19,635","17,298 - 19,635",17298,19635,18466.5,121%,"Rs.28,560 - 31,824","28,560 - 31,824",28560,31824,30192,198%,"Rs.38,658 - 43,812","38,658 - 43,812",38658,43812,41235,271%
Mulund (East),"Rs.14,748 - 16,362/sq. ft.","14,748 - 16,362",14748,16362,15555,2.82%,"Rs.16,738 - 19,993","16,738 - 19,993",16738,19993,18365.5,118%,"Rs.27,102 - 29,425","27,102 - 29,425",27102,29425,28263.5,182%,,,,,,
Mulund (West),"Rs.14,025 - 16,320/sq. ft.","14,025 - 16,320",14025,16320,15172.5,2.29%,"Rs.17,298 - 20,102","17,298 - 20,102",17298,20102,18700,123%,"Rs.28,858 - 32,156","28,858 - 32,156",28858,32156,30507,201%,"Rs.39,780 - 45,084","39,780 - 45,084",39780,45084,42432,280%
Mulund Colony,"Rs.14,748 - 17,212/sq. ft.","14,748 - 17,212",14748,17212,15980,7.87%,,,,,,,"Rs.26,388 - 30,158","26,388 - 30,158",26388,30158,28273,177%,,,,,,
Mumbai Central,"Rs.34,255 - 43,265/sq. ft.","34,255 - 43,265",34255,43265,38760,0.11%,,,,,,,,,,,,,,,,,,
Mumbra,"Rs.2,805 - 3,655/sq. ft.","2,805 - 3,655",2805,3655,3230,0%,,,,,,,,,,,,,,,,,,
Nahur,"Rs.13,218 - 15,598/sq. ft.","13,218 - 15,598",13218,15598,14408,2.48%,"Rs.19,542 - 20,570","19,542 - 20,570",19542,20570,20056,139%,"Rs.29,878 - 36,338","29,878 - 36,338",29878,36338,33108,230%,,,,,,
Naigaon (East),"Rs.3,868 - 4,250/sq. ft.","3,868 - 4,250",3868,4250,4059,-6.86%,"Rs.4,254 - 5,028","4,254 - 5,028",4254,5028,4641,114%,,,,,,,,,,,,
Naigaon (West),"Rs.3,910 - 4,420/sq. ft.","3,910 - 4,420",3910,4420,4165,-2.97%,"Rs.4,122 - 4,947","4,122 - 4,947",4122,4947,4534.5,109%,"Rs.5,432 - 6,035","5,432 - 6,035",5432,6035,5733.5,138%,,,,,,
Nalasopara (West),"Rs.3,825 - 4,378/sq. ft.","3,825 - 4,378",3825,4378,4101.5,-4%,"Rs.4,122 - 4,535","4,122 - 4,535",4122,4535,4328.5,106%,"Rs.5,470 - 6,685","5,470 - 6,685",5470,6685,6077.5,148%,,,,,,
Nalasopara East,"Rs.3,910 - 4,505/sq. ft.","3,910 - 4,505",3910,4505,4207.5,-2%,"Rs.4,122 - 4,947","4,122 - 4,947",4122,4947,4534.5,108%,"Rs.5,699 - 6,966","5,699 - 6,966",5699,6966,6332.5,151%,,,,,,
Nallasopara,"Rs.3,868 - 4,462/sq. ft.","3,868 - 4,462",3868,4462,4165,-3%,"Rs.4,122 - 4,947","4,122 - 4,947",4122,4947,4534.5,109%,"Rs.5,584 - 6,826","5,584 - 6,826",5584,6826,6205,149%,,,,,,
Nandivali Panchanand,"Rs.4,250 - 5,652/sq. ft.","4,250 - 5,652",4250,5652,4951,,,,,,,,,,,,,,,,,,,
Nandivli,"Rs.4,080 - 5,142/sq. ft.","4,080 - 5,142",4080,5142,4611,9%,,,,,,,,,,,,,,,,,,
Natwar Nagar,"Rs.17,298 - 18,912/sq. ft.","17,298 - 18,912",17298,18912,18105,0%,,,,,,,,,,,,,,,,,,
Naupada,"Rs.11,900 - 13,345/sq. ft.","11,900 - 13,345",11900,13345,12622.5,-5.36%,"Rs.16,320 - 18,360","16,320 - 18,360",16320,18360,17340,137%,"Rs.26,086 - 31,136","26,086 - 31,136",26086,31136,28611,227%,,,,,,
Navghar Gaon,"Rs.7,055 - 7,778/sq. ft.","7,055 - 7,778",7055,7778,7416.5,,,,,,,,,,,,,,,,,,,
Nehru Nagar,"Rs.11,730 - 13,770/sq. ft.","11,730 - 13,770",11730,13770,12750,,"Rs.18,896 - 21,318","18,896 - 21,318",18896,21318,20107,158%,"Rs.25,172 - 29,614","25,172 - 29,614",25172,29614,27393,215%,,,,,,
Nensey Colony,"Rs.13,685 - 15,172/sq. ft.","13,685 - 15,172",13685,15172,14428.5,-3.49%,"Rs.13,597 - 15,790","13,597 - 15,790",13597,15790,14693.5,102%,,,,,,,,,,,,
Neral,"Rs.2,720 - 3,188/sq. ft.","2,720 - 3,188",2720,3188,2954,2.94%,,,,,,,,,,,,,,,,,,
Nerul,"Rs.11,050 - 13,472/sq. ft.","11,050 - 13,472",11050,13472,12261,0.35%,"Rs.11,688 - 14,025","11,688 - 14,025",11688,14025,12856.5,105%,"Rs.22,100 - 28,900","22,100 - 28,900",22100,28900,25500,208%,"Rs.40,395 - 50,819","40,395 - 50,819",40395,50819,45607,372%
New Panvel,"Rs.5,695 - 7,140/sq. ft.","5,695 - 7,140",5695,7140,6417.5,2%,"Rs.7,166 - 8,599","7,166 - 8,599",7166,8599,7882.5,123%,"Rs.8,854 - 11,067","8,854 - 11,067",8854,11067,9960.5,155%,,,,,,
New Sector-50 Nerul,"Rs.10,455 - 12,028/sq. ft.","10,455 - 12,028",10455,12028,11241.5,1.92%,"Rs.12,750 - 16,320","12,750 - 16,320",12750,16320,14535,129%,"Rs.21,611 - 28,527","21,611 - 28,527",21611,28527,25069,223%,,,,,,
Nilemore,"Rs.3,995 - 4,462/sq. ft.","3,995 - 4,462",3995,4462,4228.5,-1.96%,"Rs.4,122 - 4,947","4,122 - 4,947",4122,4947,4534.5,107%,"Rs.5,508 - 6,120","5,508 - 6,120",5508,6120,5814,137%,,,,,,
Nilje Gaon,"Rs.5,270 - 5,738/sq. ft.","5,270 - 5,738",5270,5738,5504,1.57%,"Rs.7,012 - 7,480","7,012 - 7,480",7012,7480,7246,132%,"Rs.9,238 - 9,948","9,238 - 9,948",9238,9948,9593,174%,"Rs.10,302 - 11,160","10,302 - 11,160",10302,11160,10731,195%
Nirmal Nagar,"Rs.13,260 - 16,065/sq. ft.","13,260 - 16,065",13260,16065,14662.5,-0.59%,,,,,,,,,,,,,"Rs.40,202 - 45,227","40,202 - 45,227",40202,45227,42714.5,291%
Old Panvel,"Rs.5,738 - 6,715/sq. ft.","5,738 - 6,715",5738,6715,6226.5,1.38%,,,,,,,"Rs.10,940 - 12,622","10,940 - 12,622",10940,12622,11781,189%,,,,,,
