,Neighborhood,arts_culture_recreation,bars_nightlife,business_hub,café_fastfoods,cuisine_restaurants,education_colleges,kids_family_residential,nature_view,regular_restaurants,shopping,sports_fitness,stores_daily_conveniences,tourist_interest,transport_vicinity,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Mapping
43,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Starbucks Coffee: A Tata Alliance,19.075523243262626,72.8317448378628,Coffee Shop,café_fastfoods
44,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Carter's Blue,19.07078342149227,72.82304461916921,Fried Chicken Joint,café_fastfoods
45,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Khar Gymkhana - Black Dog Bar,19.069906861892107,72.83174012906106,Lounge,bars_nightlife
46,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.0708218,72.8288647,Bombay Salad Co.,19.064715341256164,72.83091998224552,Salad Place,sports_fitness
47,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Khane Khas,19.0654850329032,72.83103442139502,Indian Restaurant,regular_restaurants
48,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Marie Antoinette,19.067553880974074,72.82518037991079,Cupcake Shop,café_fastfoods
49,Ambedkar Nagar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.0708218,72.8288647,Carter Road Promenade,19.06724952982002,72.8229151645547,Scenic Lookout,nature_view
50,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Monkey Bar,19.065475271186532,72.83235770915195,Bar,bars_nightlife
51,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Poetry by Love &  Cheesecake,19.065488388644965,72.83108912858306,Dessert Shop,café_fastfoods
52,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Fatty Bao,19.065482765017773,72.83227238307614,Asian Restaurant,regular_restaurants
53,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Theobroma,19.065378997148745,72.83371155027025,Dessert Shop,café_fastfoods
54,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Terra - The Rooftop Cafe,19.06682127377207,72.83035613459596,Cocktail Bar,bars_nightlife
55,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0708218,72.8288647,Hakim's Aalim Hair Lounge,19.071752206837193,72.82479623025131,Salon / Barbershop,stores_daily_conveniences
56,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Arth Restaurant,19.068285938211588,72.83179756923589,Indian Restaurant,regular_restaurants
57,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Yummies,19.069039625240322,72.82443740472732,Fast Food Restaurant,regular_restaurants
58,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,China Garden,19.072592995911478,72.83195266602313,Chinese Restaurant,regular_restaurants
59,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Barbeque Nation,19.06993732888772,72.82969119168304,BBQ Joint,cuisine_restaurants
60,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Gostana,19.06611719594831,72.83363267540854,Burger Joint,café_fastfoods
61,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Nido,19.07196068172032,72.82548076182853,Eastern European Restaurant,cuisine_restaurants
62,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Koinonia Coffee Roasters,19.073263816388312,72.82617788108536,Café,
63,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Pali Village Café,19.063299558587037,72.82945239973539,Café,
64,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Hokey Pokey,19.070783296955867,72.82268924278888,Ice Cream Shop,café_fastfoods
65,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.0708218,72.8288647,Clue Hunt,19.0653105654866,72.83088362882984,Arcade,sports_fitness
66,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Melting Pot,19.070467398351788,72.83157324002434,Indian Restaurant,regular_restaurants
67,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Global Fusion,19.065174038698,72.83395584403156,Sushi Restaurant,cuisine_restaurants
68,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0708218,72.8288647,Camy Wafers,19.073071623841948,72.83121487755994,Bakery,stores_daily_conveniences
69,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Spaghetti Kitchen,19.072907134565693,72.83196346638549,Italian Restaurant,cuisine_restaurants
70,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Pal's Fish Corner,19.065159775296554,72.83095526358719,Indian Restaurant,regular_restaurants
71,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Guilt Trip,19.07133372105681,72.82405418485534,Cupcake Shop,café_fastfoods
72,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Menchie's Frozen Yoghurt,19.067842688265888,72.83340509446661,Frozen Yogurt Shop,café_fastfoods
73,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Natural Icecream,19.065375080280713,72.83388370840305,Ice Cream Shop,café_fastfoods
74,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Jai Hind Lunch Home,19.063020178888646,72.82939367421633,Seafood Restaurant,regular_restaurants
75,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Pali Bhavan,19.06208863111207,72.8294592044777,Indian Restaurant,regular_restaurants
76,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.0708218,72.8288647,Linking Road,19.06581467243237,72.83438853001239,Road,transport_vicinity
77,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Toto’s Garage,19.062401412096985,72.82984348227363,Pub,bars_nightlife
78,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Punjab Sweet House And Restaurant,19.06255314675695,72.82942295777715,Indian Restaurant,regular_restaurants
79,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Fellas,19.07413410709258,72.83235050804336,Juice Bar,café_fastfoods
80,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Corniche-at the waterfront,19.07043394395965,72.82262984349967,Mediterranean Restaurant,cuisine_restaurants
81,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Soul Fry,19.06273857286659,72.82809408684619,Seafood Restaurant,regular_restaurants
82,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Bonobo,19.06547223395301,72.83393477204172,Pub,bars_nightlife
83,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,One Street Over,19.064871012600435,72.83488282919029,Modern European Restaurant,cuisine_restaurants
84,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0708218,72.8288647,Pali Market,19.062740864838272,72.82833555711356,Farmers Market,stores_daily_conveniences
85,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.0708218,72.8288647,A Chocolate Affair,19.06271542030084,72.82935210803004,Arcade,sports_fitness
86,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Wok Express,19.062319585064927,72.82955517194749,Chinese Restaurant,regular_restaurants
87,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Bhaijaanz,19.067633011798577,72.82521310655817,Indian Restaurant,regular_restaurants
88,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,TAP Resto Bar,19.06522385336563,72.83365900983215,Bar,bars_nightlife
89,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Bombay Barbeque,19.06986054980803,72.82970847460179,BBQ Joint,cuisine_restaurants
